event_id,artist,tour,city,region,venue,show_datetime,face_prices,onsale_datetime,official_url,secondary_url,piaoniu_url,priority,active
mtl_69f0467bad77c50001e60647,周深,周深2026「深深的」巡回演唱会-贵阳站,贵阳,CN,贵阳奥林匹克体育中心体育场,2026-08-09T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69f0467bad77c50001e60647,https://x.piaoniu.com/activity/773748,auto,true
mtl_6a572b1526386c0001da76dc,周深,周深2026「深深的」巡回演唱会-长沙站,长沙,CN,长沙贺龙体育中心体育场,2026-10-17T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a572b1526386c0001da76dc,https://x.piaoniu.com/activity/777090,auto,true
mtl_69eb274145e78d00018db278,周深,周深2026「深深的」巡回演唱会,台州,CN,台州市体育中心体育场,2026-09-12T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69eb274145e78d00018db278,https://x.piaoniu.com/activity/772921,auto,true
mtl_69eb289945e78d00018e7188,周深,周深2026「深深的」巡回演唱会,北京,CN,国家体育场—鸟巢,2026-09-25T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69eb289945e78d00018e7188,https://x.piaoniu.com/activity/763000,auto,true
mtl_6a45d3cb57a4330001c01d3f,周深,周深2026「深深的」巡回演唱会,厦门,CN,厦门待定,2026-11-21T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a45d3cb57a4330001c01d3f,,auto,true
mtl_69eb29ab365f630001dac559,周深,周深2026「深深的」巡回演唱会,成都,CN,成都待定,敬请期待,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69eb29ab365f630001dac559,,auto,true
mtl_69eb1b8e7d52ec00019ef795,汪苏泷,汪苏泷2026「明日世界」世界巡回演唱会-南京站,南京,CN,南京奥体中心体育场,2026-07-26T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69eb1b8e7d52ec00019ef795,https://x.piaoniu.com/activity/773534,auto,true
mtl_69e8955f65f4240001a24aee,汪苏泷,汪苏泷2026「明日世界」世界巡回演唱会,北京,CN,国家体育场—鸟巢,2026-08-14T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69e8955f65f4240001a24aee,https://x.piaoniu.com/activity/762998,auto,true
mtl_69e895d8ff6eb90001ec2185,汪苏泷,汪苏泷2026 演唱会,济南,CN,济南待定,敬请期待,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69e895d8ff6eb90001ec2185,,auto,true
mtl_6a3f401d976f610001232a0c,张远,2026张远「远行」巡回演唱会,广州,CN,宝能广州国际体育演艺中心,2026-08-02T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a3f401d976f610001232a0c,https://x.piaoniu.com/activity/780085,auto,true
mtl_6a50ba8349dc9a000193509a,张远,2026张远「远行」演唱会-南京站,南京,CN,南京梦之蓝青奥体育公园体育馆,2026-08-15T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a50ba8349dc9a000193509a,https://x.piaoniu.com/activity/776315,auto,true
